# Trait Facts Menue-Prueflauf, Mess-Mod 6.40.0, Trait Facts 0.12.8, Spiel 42.20.4 b0bbce05d5
# klick|art|id|urteil|was; zufall|nr|urteil|code|was; tooltip|liste|id|breite|hoehe|urteil; pruef|name|urteil|was
wert|mods|6|TraitFacts, TraitFactsMeasure, TraitFactsDemoPack, moreTraitsDefinitive (und 2 Hilfsmods ohne Traits)
# 25 Berufe, 177 Traits, 100 Zufalls-Builds
pruef|hooks-laufen|ok|alle Hooks der Charaktererstellung liefen
pruef|fehler-vor-dem-lauf|ok|nichts abgefangen
pruef|paket-fassung|ok|mod.info 0.12.8, TF.VERSION 0.12.8
wert|paket-quelle|workshop-paket|%USERPROFILE%/Zomboid/Workshop/TraitFacts/Contents/mods/TraitFacts/
pruef|paket-bild-tf_copy|ok|geladen
pruef|paket-bild-tf_paste|ok|geladen
pruef|paket-bild-tf_arrow_on|ok|geladen
pruef|paket-bild-tf_arrow_off|ok|geladen
pruef|kopfzeile-tfGearButton|FEHL|Knopf fehlt
pruef|kopfzeile-tfBugButton|FEHL|Knopf fehlt
pruef|kopfzeile-tfCopyButton|FEHL|Knopf fehlt
pruef|kopfzeile-tfPasteButton|FEHL|Knopf fehlt
pruef|hinweis-kopieren|ok|Code TF=dlg1RjWSK, Hinweis ok
pruef|code-reihenfolge-egal|ok|TF=dlg1RjWSK / TF=dlg1RjWSK
pruef|hinweis-einfuegen|ok|danach TF=dlg1RjWSK, Hinweis ok
pruef|hinweis-halber-code|ok|TF=dlg1R: Hinweis warn, Beruf base:fireofficer
pruef|hinweis-kein-code|ok|Hinweis error, Auswahl unveraendert
pruef|kein-phantom-mod|ok|der Mod-Speicher bleibt sauber
pruef|hinweise-ohne-fehler|ok|nichts abgefangen
pruef|spannen-adrenaline|ok|+13 to +16% und +10 to +14% stehen im Block, Farbe good
pruef|leichte-kaelte-eine-zeile|ok|"Cannot catch a cold while only mildly cold" steht 1 mal in der Uebersicht
pruef|optionskarte-colorblind|ok|Haken an: Rahmen 2, Haken aus: Rahmen 1, Karte im Bild
pruef|optionskarte-showdead|ok|Haken an: Rahmen 2, Haken aus: Rahmen 1, Karte im Bild
pruef|optionskarte-showexcludes|ok|Haken an: Rahmen 2, Haken aus: Rahmen 1, Karte im Bild
pruef|optionskarte-ohne-fehler|ok|nichts abgefangen
klick|beruf|base:unemployed|ok|
klick|beruf|base:smither|ok|
klick|beruf|base:burgerflipper|ok|
klick|beruf|base:burglar|ok|
klick|beruf|base:carpenter|ok|
klick|beruf|base:chef|ok|
klick|beruf|base:constructionworker|ok|
klick|beruf|base:repairman|ok|
klick|beruf|base:doctor|ok|
klick|beruf|base:electrician|ok|
klick|beruf|base:engineer|ok|
klick|beruf|base:farmer|ok|
klick|beruf|base:fireofficer|ok|
klick|beruf|base:fisherman|ok|
klick|beruf|base:fitnessinstructor|ok|
klick|beruf|base:lumberjack|ok|
klick|beruf|base:mechanics|ok|
klick|beruf|base:nurse|ok|
klick|beruf|base:parkranger|ok|
klick|beruf|base:policeofficer|ok|
klick|beruf|base:rancher|ok|
klick|beruf|base:securityguard|ok|
klick|beruf|base:tailor|ok|
klick|beruf|base:veteran|ok|
klick|beruf|base:metalworker|ok|
klick|trait|toadtraits:preparedammo|ok|
klick|trait|toadtraits:preparedcamp|ok|
klick|trait|toadtraits:preparedrepair|ok|
klick|trait|toadtraits:preparedcar|ok|
klick|trait|toadtraits:preparedcoordination|ok|
klick|trait|toadtraits:preparedfood|ok|
klick|trait|toadtraits:preparedmedical|ok|
klick|trait|toadtraits:preparedpack|ok|
klick|trait|toadtraits:preparedweapon|ok|
klick|trait|base:speeddemon|ok|
klick|trait|base:artisan|ok|
klick|trait|base:dextrous|ok|
klick|trait|base:fastreader|ok|
klick|trait|base:firstaid|ok|
klick|trait|base:gardener|ok|
klick|trait|toadtraits:generator|ok|
klick|trait|base:inventive|ok|
klick|trait|base:irongut|ok|
klick|trait|toadtraits:leadfoot|ok|
klick|trait|base:lighteater|ok|
klick|trait|base:lowthirst|ok|
klick|trait|base:mason|ok|
klick|trait|base:nutritionist|ok|
klick|trait|base:outdoorsman|ok|
klick|trait|toadtraits:quiet|ok|
klick|trait|toadtraits:swift|ok|
klick|trait|base:whittler|ok|
klick|trait|toadtraits:blissful|ok|
klick|trait|base:nightvision|ok|
klick|trait|base:crafty|ok|
klick|trait|toadtraits:flexible|ok|
klick|trait|toadtraits:noxpsneaky|ok|
klick|trait|toadtraits:noxpaxe|ok|
klick|trait|toadtraits:noxpshooter|ok|
klick|trait|toadtraits:noxptechnician|ok|
klick|trait|base:cook|ok|
klick|trait|toadtraits:quickrest|ok|
klick|trait|toadtraits:scrapper|ok|
klick|trait|toadtraits:noxpfirstaid|ok|
klick|trait|toadtraits:noxpmaintenance|ok|
klick|trait|toadtraits:tavernbrawler|ok|
klick|trait|toadtraits:vagabond|ok|
klick|trait|base:mechanics|ok|
